local_path,file_size,sha256,provenance_status
data/raw/pathway/msigdb_v2026.1.Hs_chip_files_to_download_locally/Mouse_Codelink_Codelink_Human_Orthologs_MSigDB.v2026.1.Hs.chip,1667169,ca85acc304ec612de9e2b15989a69f423c1d7c85aba5ff93951ab45fdcd684b4,unverified
data/raw/pathway/msigdb_v2026.1.Hs_chip_files_to_download_locally/Mouse_Ensembl_Gene_ID_Human_Orthologs_MSigDB.v2026.1.Hs.chip,1900681,f6eab58d04dc36285574a5fe46bac7f3a6afb78b169052b62ab4a4aedff4de43,unverified
data/raw/pathway/msigdb_v2026.1.Hs_chip_files_to_download_locally/Mouse_Ensembl_Transcript_ID_Human_Orthologs_MSigDB.v2026.1.Hs.chip,9579287,368289de630ad9bedabbea222b7d2da6391e73b01eb2ff52bba178f0cba34424,unverified
data/raw/pathway/msigdb_v2026.1.Hs_chip_files_to_download_locally/Mouse_Gene_Symbol_Remapping_Human_Orthologs_MSigDB.v2026.1.Hs.chip,8855712,725e3f00b559531f5ce1dfda582059749d57f4d2c1f50ded39da3f22ac031b5e,unverified
data/raw/pathway/msigdb_v2026.1.Hs_chip_files_to_download_locally/Mouse_ILLUMINA_Array_Human_Orthologs_MSigDB.v2026.1.Hs.chip,3808493,099c93c3bcd9e06f047a671f3d20240059b7dc6ebf4ef5d039dd423e41a72ebc,unverified
data/raw/pathway/msigdb_v2026.1.Hs_chip_files_to_download_locally/Mouse_Image_Clone_Human_Orthologs_MSigDB.v2026.1.Hs.chip,88339991,eb0196af461859f88e2f91a7758dcab89c6aa5b58688c1d03e661bbb15e481c5,unverified
data/raw/pathway/msigdb_v2026.1.Hs_chip_files_to_download_locally/Mouse_MGI_ID_Human_Orthologs_MSigDB.v2026.1.Hs.chip,1750560,5b60d795452c666ebb9029132066a4ea011db6833281265051cdb7a306d8158c,unverified
data/raw/pathway/msigdb_v2026.1.Hs_chip_files_to_download_locally/Mouse_NCBI_Gene_ID_Human_Orthologs_MSigDB.v2026.1.Hs.chip,3558784,4128582fe92be804ae69e494aa08aa600c062089cf6b29950ac29e384d55cfca,unverified
data/raw/pathway/msigdb_v2026.1.Hs_chip_files_to_download_locally/Mouse_Operon_V1_1_Human_Orthologs_MSigDB.v2026.1.Hs.chip,419497,eaee60e2a5ae9467d6fb35bdee2349cda9d9dc0f78226e9a77796bf9011070c0,unverified
data/raw/pathway/msigdb_v2026.1.Hs_chip_files_to_download_locally/Mouse_Phalanx_OneArray_Human_Orthologs_MSigDB.v2026.1.Hs.chip,1921130,043300488d247de6441391e9a1434ae3ac37ad62ed39e228810d1b35e2bdd917,unverified
data/raw/pathway/msigdb_v2026.1.Hs_chip_files_to_download_locally/Mouse_RefSeq_Accession_Extended_Human_Orthologs_MSigDB.v2026.1.Hs.chip,17471342,326a551e8649ac7c046dd2e383f1bf309591a45e0d5b0250804fcec84bfdf262,unverified
data/raw/pathway/msigdb_v2026.1.Hs_chip_files_to_download_locally/Mouse_RefSeq_Accession_Human_Orthologs_MSigDB.v2026.1.Hs.chip,16497987,065c39160a95a03df858e84b1180e006ec7b945e744614d1182aa3c27b23edd3,unverified
data/raw/pathway/msigdb_v2026.1.Hs_chip_files_to_download_locally/Mouse_Seq_Accession_Human_Orthologs_MSigDB.v2026.1.Hs.chip,338263434,820ff0c3e5ce9895d4d1852d6d74674dbc2605c216d41aea22ba6f16b7e3c1b1,unverified
data/raw/pathway/msigdb_v2026.1.Hs_chip_files_to_download_locally/Mouse_UCSC_ID_Human_Orthologs_MSigDB.v2026.1.Hs.chip,230676,bec202a7d437a89260bf91e258f76e923af99b86a33383a0bb9eecc840fdd248,unverified
data/raw/pathway/msigdb_v2026.1.Hs_chip_files_to_download_locally/Mouse_UniProt_IDs_Human_Orthologs_MSigDB.v2026.1.Hs.chip,5951235,c86e6ac6849c5d73f52c9f69ec2524b3926b932b9038cd978300736442f96e25,unverified
data/raw/pathway/msigdb_v2026.1.Hs_chip_files_to_download_locally/Rat_AFFY_230_Human_Orthologs_MSigDB.v2026.1.Hs.chip,1776096,b9a71c464c44a3900767ca3aeae7bdb57f34bb93b7c47aec51e972e6afb9f3b9,unverified
data/raw/pathway/msigdb_v2026.1.Hs_chip_files_to_download_locally/Rat_AFFY_RaGene_Human_Orthologs_MSigDB.v2026.1.Hs.chip,3421289,6847010b1dd30383cb2da4d0e73c2da19fc0bc1fc768b1bb2991eb8c5ef87e8f,unverified
data/raw/pathway/msigdb_v2026.1.Hs_chip_files_to_download_locally/Rat_AFFY_U34_Human_Orthologs_MSigDB.v2026.1.Hs.chip,1553890,a5a57579dba0dc662b46c0ae4b1bbc32262d448e43b1369cdfc410d808372e14,unverified
data/raw/pathway/msigdb_v2026.1.Hs_chip_files_to_download_locally/Rat_AGILENT_Array_Human_Orthologs_MSigDB.v2026.1.Hs.chip,2987543,331e7aad0b28fe8ce1b85844f4f629e0f192cef3c3baaff1195fd6842a2470eb,unverified
data/raw/pathway/msigdb_v2026.1.Hs_chip_files_to_download_locally/Rat_Codelink_Codelink_Human_Orthologs_MSigDB.v2026.1.Hs.chip,1642281,61f4ad39a751d688a2eb5ccc6c7a11fbbc3268f6743af90ed27b9738eb69210e,unverified
